committee_name	sect_ind	donations
Armed Services (H)	Construction - Building Materials & Equipment	809532
Armed Services (H)	Construction - Construction Services	997789
Armed Services (H)	Construction - General Contractors	1219441
Armed Services (H)	Construction - Home Builders	373161
Armed Services (H)	Construction - Special Trade Contractors	424197
Armed Services (H)	Defense - Defense Aerospace	2717257
Armed Services (H)	Defense - Defense Electronics	1889012
Armed Services (H)	Defense - Misc Defense	1467304
Armed Services (H)	Energy & Natural Resources - Electric Utilities	1245879
Armed Services (H)	Energy & Natural Resources - Mining	306800
Armed Services (H)	Energy & Natural Resources - Oil & Gas	2224459
Armed Services (H)	Energy & Natural Resources - Waste Management	65953
Armed Services (H)	Finance, Insurance & Real Estate - Accountants	911078
Armed Services (H)	Finance, Insurance & Real Estate - Commercial Banks	1208795
Armed Services (H)	Finance, Insurance & Real Estate - Credit Unions	288096
Armed Services (H)	Finance, Insurance & Real Estate - Finance/Credit Companies	297845
Armed Services (H)	Finance, Insurance & Real Estate - Insurance	2384536
Armed Services (H)	Finance, Insurance & Real Estate - Misc Finance	1273274
Armed Services (H)	Finance, Insurance & Real Estate - Real Estate	4258163
Armed Services (H)	Finance, Insurance & Real Estate - Savings & Loans	29540
Armed Services (H)	Finance, Insurance & Real Estate - Securities & Investment	3784912
Armed Services (H)	Health - Health Professionals	3471538
Armed Services (H)	Health - Health Services/HMOs	717868
Armed Services (H)	Health - Hospitals/Nursing Homes	946431
Armed Services (H)	Health - Pharmaceuticals/Health Products	1214276
Armed Services (H)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	24940
Armed Services (H)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	125735
Armed Services (H)	Ideological/Single-Issue - Candidate Committees	1047085
Armed Services (H)	Ideological/Single-Issue - Democratic/Liberal	1609391
Armed Services (H)	Ideological/Single-Issue - Environment	459114
Armed Services (H)	Ideological/Single-Issue - Foreign & Defense Policy	114935
Armed Services (H)	Ideological/Single-Issue - Gun Control	0
Armed Services (H)	Ideological/Single-Issue - Gun Rights	485533
Armed Services (H)	Ideological/Single-Issue - Human Rights	635725
Armed Services (H)	Ideological/Single-Issue - Leadership PACs	4675815
Armed Services (H)	Ideological/Single-Issue - Pro-Israel	1088012
Armed Services (H)	Ideological/Single-Issue - Republican/Conservative	2677107
Armed Services (H)	Ideological/Single-Issue - Women's Issues	1437479
Armed Services (H)	Labor - Building Trade Unions	1343280
Armed Services (H)	Labor - Industrial Unions	783267
Armed Services (H)	Labor - Misc Unions	410075
Armed Services (H)	Labor - Public Sector Unions	1149630
Armed Services (H)	Labor - Transportation Unions	1516878
Armed Services (H)	Lawyers & Lobbyists - Lawyers/Law Firms	4967062
Armed Services (H)	Lawyers & Lobbyists - Lobbyists	1662015
Armed Services (H)	Misc Business - Beer, Wine & Liquor	827556
Armed Services (H)	Misc Business - Business Associations	174580
Armed Services (H)	Misc Business - Business Services	1221305
Armed Services (H)	Misc Business - Casinos/Gambling	963111
Armed Services (H)	Misc Business - Chemical & Related Manufacturing	363877
Armed Services (H)	Misc Business - Food & Beverage	848170
Armed Services (H)	Misc Business - Lodging/Tourism	456504
Armed Services (H)	Misc Business - Misc Manufacturing & Distributing	1072826
Armed Services (H)	Misc Business - Misc Services	245793
Armed Services (H)	Misc Business - Recreation/Live Entertainment	287954
Armed Services (H)	Misc Business - Retail Sales	1044305
Armed Services (H)	Misc Business - Steel Production	123080
Armed Services (H)	Misc Business - Textiles	71135
Armed Services (H)	Other - Civil Servants/Public Officials	380522
Armed Services (H)	Other - Clergy & Religious Organizations	47201
Armed Services (H)	Other - Education	1231823
Armed Services (H)	Other - Non-Profit Institutions	376612
Armed Services (H)	Other - Retired	7687124
Armed Services (H)	Transportation - Air Transport	1296466
Armed Services (H)	Transportation - Automotive	1227550
Armed Services (H)	Transportation - Railroads	700939
Armed Services (H)	Transportation - Sea Transport	630570
Armed Services (H)	Transportation - Trucking	411747
Armed Services (S)	Agribusiness - Agricultural Services/Products	452175
Armed Services (S)	Agribusiness - Crop Production & Basic Processing	843779
Armed Services (S)	Agribusiness - Dairy	127516
Armed Services (S)	Agribusiness - Food Processing & Sales	374690
Armed Services (S)	Agribusiness - Forestry & Forest Products	174912
Armed Services (S)	Agribusiness - Livestock	455816
Armed Services (S)	Agribusiness - Poultry & Eggs	46750
Armed Services (S)	Agribusiness - Tobacco	126005
Armed Services (S)	Communications/Electronics - Electronics Mfg & Equip	1238531
Armed Services (S)	Communications/Electronics - Internet	429832
Armed Services (S)	Communications/Electronics - Printing & Publishing	508704
Armed Services (S)	Communications/Electronics - TV/Movies/Music	1012718
Armed Services (S)	Communications/Electronics - Telecom Services	782234
Armed Services (S)	Communications/Electronics - Telephone Utilities	353866
Armed Services (S)	Construction - Building Materials & Equipment	423031
Armed Services (S)	Construction - Construction Services	773758
Armed Services (S)	Construction - General Contractors	1182847
Armed Services (S)	Construction - Home Builders	222982
Armed Services (S)	Construction - Special Trade Contractors	590498
Armed Services (S)	Defense - Defense Aerospace	637131
